yaw,pitch,roll,voltage,temperature,time
-0.87,0.10,0.15,2.39,72.38,4545
-0.87,0.10,0.15,2.38,72.38,4581
-0.86,0.10,0.15,2.39,72.38,4613
-0.85,0.10,0.15,2.38,72.38,4648
-0.86,0.09,0.15,2.38,72.38,4683
-0.86,0.09,0.15,2.38,72.38,4717
-0.86,0.09,0.15,2.38,72.38,4753
-0.86,0.09,0.15,2.38,72.38,4789
-0.86,0.09,0.15,2.38,72.38,4822
-0.86,0.10,0.15,2.38,72.38,4854
-0.85,0.10,0.15,2.38,72.56,4888
-0.85,0.10,0.15,2.38,72.38,4924
-0.85,0.09,0.15,2.38,72.38,4957
-0.86,0.09,0.15,2.37,72.38,4992
-0.86,0.09,0.15,2.38,72.38,5025
-0.86,0.10,0.15,2.38,72.38,5060
-0.86,0.10,0.15,2.38,72.38,5095
-0.86,0.11,0.15,2.38,72.38,5129
-0.86,0.10,0.15,2.38,72.38,5163
-0.86,0.10,0.15,2.37,72.38,5197
-0.87,0.09,0.14,2.38,72.38,5233
-0.87,0.09,0.14,2.39,72.38,5266
-0.87,0.09,0.15,2.38,72.38,5305
-0.86,0.10,0.15,2.38,72.56,5336
-0.86,0.10,0.15,2.38,72.38,5368
-0.87,0.11,0.15,2.38,72.38,5404
-0.87,0.11,0.14,2.38,72.56,5438
-0.87,0.11,0.13,2.38,72.38,5473
-0.87,0.11,0.13,2.36,72.38,5506
-0.87,0.11,0.13,2.39,72.38,5540
-0.86,0.11,0.14,2.38,72.38,5576
-0.87,0.11,0.14,2.37,72.38,5609
-0.87,0.11,0.14,2.37,72.38,5645
-0.87,0.11,0.13,2.38,72.38,5677
-0.87,0.11,0.13,2.38,72.38,5713
-0.87,0.10,0.14,2.37,72.38,5746
-0.86,0.10,0.14,2.38,72.38,5781
-0.86,0.10,0.13,2.38,72.38,5816
-0.87,0.10,0.13,2.38,72.38,5855
-0.87,0.11,0.14,2.38,72.38,5907
-0.86,0.10,0.13,2.39,72.56,5945
-0.86,0.09,0.14,2.39,72.38,5976
-0.86,0.10,0.14,2.38,72.38,6008
-0.86,0.09,0.14,2.39,72.38,6040
-0.86,0.10,0.13,2.38,72.38,6072
-0.86,0.10,0.13,2.39,72.38,6104
-0.86,0.10,0.13,2.36,72.56,6136
-0.86,0.10,0.14,2.39,72.56,6168
-0.86,0.10,0.14,2.39,72.56,6200
-0.86,0.10,0.14,2.38,72.56,6231
-0.86,0.10,0.14,2.38,72.38,6264
-0.87,0.10,0.14,2.38,72.38,6296
-0.87,0.10,0.14,2.38,72.56,6330
-0.86,0.10,0.14,2.37,72.56,6369
-0.86,0.10,0.14,2.38,72.38,6400
-0.86,0.10,0.13,2.38,72.56,6432
-0.87,0.11,0.11,2.43,72.56,6468
-0.87,0.11,0.12,2.35,72.38,6502
-0.87,0.10,0.15,2.37,72.56,6538
-0.86,0.11,0.15,2.37,72.38,6570
-0.85,0.11,0.13,2.37,72.56,6605
-0.85,0.11,0.13,2.38,72.56,6639
-0.87,0.11,0.13,2.38,72.38,6673
-0.87,0.10,0.13,2.39,72.56,6709
-0.86,0.10,0.13,2.38,72.38,6741
-0.85,0.10,0.13,2.38,72.38,6777
-0.85,0.10,0.13,2.38,72.38,6810
-0.86,0.10,0.13,2.38,72.38,6846
-0.87,0.11,0.13,2.37,72.56,6879
-0.86,0.10,0.17,2.37,72.38,6917
-0.84,0.09,0.17,2.38,72.56,6950
-0.84,0.09,0.15,2.38,72.38,6982
-0.86,0.10,0.11,2.38,72.56,7018
-0.88,0.10,0.11,2.39,72.38,7051
-0.90,0.11,0.12,2.37,72.56,7086
-0.87,0.11,0.16,2.38,72.56,7119
-0.84,0.11,0.17,2.38,72.38,7153
-0.83,0.11,0.17,2.38,72.56,7189
-0.85,0.10,0.17,2.38,72.38,7222
-0.88,0.10,0.15,2.38,72.56,7257
-0.88,0.11,0.13,2.38,72.38,7290
-0.87,0.11,0.11,2.36,72.74,7326
-0.86,0.11,0.14,2.39,72.38,7359
-0.85,0.11,0.17,2.38,72.56,7394
-0.85,0.11,0.17,2.39,72.56,7429
-0.85,0.11,0.15,2.38,72.38,7460
-0.87,0.10,0.13,2.38,72.56,7498
-0.88,0.10,0.14,2.37,72.56,7531
-0.87,0.11,0.15,2.38,72.56,7567
-0.85,0.11,0.15,2.38,72.38,7599
-0.85,0.11,0.15,2.37,72.38,7634
-0.86,0.11,0.15,2.38,72.56,7669
-0.87,0.10,0.15,2.37,72.38,7703
-0.87,0.09,0.14,2.37,72.38,7738
-0.86,0.09,0.14,2.38,72.56,7772
-0.85,0.10,0.15,2.37,72.56,7805
-0.85,0.11,0.16,2.38,72.56,7841
-0.86,0.11,0.15,2.38,72.56,7874
-0.87,0.11,0.15,2.38,72.56,7910
-0.87,0.11,0.14,2.38,72.38,7943
-0.86,0.09,0.15,2.38,72.56,7982
-0.85,0.09,0.15,2.38,72.38,8014
-0.85,0.09,0.16,2.37,72.56,8046
-0.85,0.09,0.15,2.39,72.38,8081
-0.86,0.09,0.15,2.38,72.38,8115
-0.87,0.10,0.15,2.38,72.38,8150
-0.86,0.10,0.15,2.38,72.56,8183
-0.86,0.10,0.15,2.38,72.38,8219
-0.85,0.09,0.15,2.38,72.56,8252
-0.86,0.09,0.15,2.38,72.56,8286
-0.86,0.09,0.15,2.38,72.56,8321
-0.86,0.09,0.15,2.39,72.38,8354
-0.86,0.10,0.15,2.38,72.38,8390
-0.86,0.10,0.15,2.38,72.56,8423
-0.86,0.10,0.15,2.37,72.38,8459
-0.86,0.09,0.16,2.37,72.38,8491
-0.86,0.09,0.15,2.37,72.56,8531
-0.86,0.09,0.15,2.39,72.56,8589
-0.86,0.09,0.15,2.38,72.38,8620
-0.85,0.09,0.15,2.38,72.38,8652
-0.86,0.09,0.15,2.38,72.56,8684
-0.86,0.10,0.15,2.38,72.56,8716
-0.86,0.10,0.15,2.36,72.56,8749
-0.86,0.10,0.10,2.39,72.38,8781
-0.87,0.09,0.10,2.39,72.56,8813
-0.87,0.09,0.15,2.39,72.56,8845
-0.86,0.09,0.16,2.38,72.56,8876
-0.84,0.10,0.15,2.39,72.56,8909
-0.84,0.11,0.15,2.38,72.38,8941
-0.86,0.11,0.19,2.38,72.56,8973
-0.87,0.08,0.22,2.39,72.38,9006
-0.84,0.09,0.17,2.38,72.56,9045
-0.83,0.10,0.08,2.38,72.38,9077
-0.87,0.08,0.07,2.38,72.38,9111
-0.90,0.09,0.14,2.38,72.38,9144
-0.89,0.09,0.22,2.37,72.56,9178
-0.82,0.11,0.17,2.38,72.38,9213
-0.80,0.11,0.13,2.38,72.38,9247
-0.84,0.09,0.13,2.38,72.38,9282
-0.89,0.09,0.17,2.37,72.56,9316
-0.89,0.09,0.16,2.37,72.56,9352
-0.85,0.08,0.13,2.38,72.38,9384
-0.83,0.10,0.13,2.38,72.56,9418
-0.84,0.11,0.17,2.38,72.56,9454
-0.86,0.10,0.19,2.37,72.38,9487
-0.86,0.09,0.16,2.38,72.38,9523
-0.85,0.09,0.20,2.39,72.56,9555
-0.86,0.08,0.10,2.41,72.38,9595
-0.87,0.11,0.03,2.35,72.56,9627
-0.91,0.13,0.01,2.41,72.56,9659
-0.91,0.14,0.05,2.40,72.38,9695
-0.88,0.12,0.12,2.38,72.56,9727
-0.82,0.09,0.17,2.34,72.56,9763
-0.80,0.07,0.17,2.36,72.38,9796
-0.81,0.06,0.15,2.37,72.56,9832
-0.85,0.05,0.13,2.38,72.56,9865
-0.87,0.06,0.13,2.37,72.56,9899
-0.85,0.07,0.13,2.38,72.38,9934
-0.83,0.10,0.15,2.38,72.38,9968
-0.81,0.11,0.16,2.38,72.38,10003
-0.82,0.11,0.17,2.38,72.56,10038
-0.85,0.09,0.15,2.38,72.38,10074
-0.85,0.08,0.15,2.38,72.38,10113
-0.85,0.08,0.15,2.38,72.38,10145
-0.84,0.09,0.15,2.39,72.56,10179
-0.83,0.09,0.17,2.38,72.38,10215
-0.83,0.11,0.19,2.39,72.38,10250
-0.84,0.11,0.15,2.38,72.56,10286
-0.85,0.09,0.17,2.38,72.38,10320
-0.85,0.08,0.17,2.38,72.38,10357
-0.83,0.08,0.17,2.38,72.38,10391
-0.83,0.09,0.19,2.38,72.38,10428
-0.83,0.11,0.17,2.38,72.38,10463
-0.84,0.13,0.17,2.37,72.38,10497
-0.85,0.11,0.17,2.39,72.56,10533
-0.85,0.10,0.17,2.38,72.38,10568
-0.83,0.09,0.19,2.37,72.38,10604
-0.83,0.09,0.18,2.39,72.56,10644
-0.83,0.09,0.22,2.38,72.56,10676
-0.84,0.11,0.21,2.38,72.38,10709
-0.84,0.12,0.18,2.38,72.56,10745
-0.84,0.11,0.15,2.39,72.38,10780
-0.83,0.11,0.18,2.38,72.38,10816
-0.83,0.10,0.21,2.38,72.56,10851
-0.83,0.09,0.20,2.38,72.56,10888
-0.83,0.09,0.18,2.38,72.56,10921
-0.83,0.09,0.17,2.38,72.38,10958
-0.83,0.10,0.17,2.38,72.56,10992
-0.83,0.11,0.18,2.38,72.38,11029
-0.83,0.11,0.19,2.38,72.38,11064
-0.83,0.11,0.19,2.38,72.38,11098
-0.83,0.10,0.18,2.38,72.38,11134
-0.83,0.10,0.18,2.39,72.38,11174
-0.83,0.10,0.19,2.38,72.56,11206
-0.83,0.11,0.19,2.39,72.56,11265
-0.83,0.11,0.18,2.38,72.38,11297
-0.83,0.10,0.18,2.38,72.38,11329
-0.84,0.11,0.17,2.37,72.38,11362
-0.84,0.10,0.17,2.39,72.38,11394
-0.83,0.10,0.17,2.38,72.56,11426
-0.83,0.10,0.17,2.39,72.38,11458
-0.83,0.10,0.17,2.38,72.38,11490
-0.83,0.11,0.17,2.38,72.56,11522
-0.83,0.11,0.17,2.37,72.56,11559
-0.83,0.11,0.17,2.38,72.38,11593
-0.83,0.10,0.17,2.38,72.38,11630
-0.83,0.10,0.18,2.38,72.38,11665
-0.83,0.10,0.18,2.38,72.38,11703
-0.83,0.11,0.18,2.39,72.56,11736
-0.83,0.11,0.18,2.38,72.38,11770
-0.83,0.11,0.17,2.38,72.56,11807
-0.83,0.11,0.17,2.38,72.38,11841
-0.83,0.11,0.17,2.38,72.56,11878
-0.83,0.11,0.18,2.37,72.38,11912
-0.83,0.10,0.18,2.38,72.38,11947
-0.83,0.10,0.17,2.38,72.38,11982
-0.83,0.10,0.17,2.38,72.38,12019
-0.83,0.11,0.17,2.38,72.56,12053
-0.83,0.11,0.17,2.38,72.56,12090
-0.83,0.11,0.17,2.38,72.56,12124
-0.83,0.11,0.17,2.38,72.56,12160
-0.83,0.11,0.17,2.38,72.38,12194
-0.83,0.11,0.17,2.38,72.38,12234
-0.83,0.11,0.17,2.38,72.38,12268
-0.83,0.11,0.17,2.38,72.38,12301
-0.83,0.11,0.17,2.38,72.38,12338
-0.83,0.11,0.17,2.36,72.56,12371
-0.83,0.11,0.17,2.39,72.38,12408
-0.83,0.11,0.17,2.38,72.38,12442
-0.83,0.11,0.17,2.37,72.38,12479
-0.83,0.11,0.17,2.38,72.38,12513
-0.83,0.10,0.17,2.38,72.56,12548
-0.83,0.10,0.17,2.38,72.56,12583
-0.83,0.10,0.17,2.38,72.38,12620
-0.83,0.11,0.17,2.38,72.38,12654
-0.83,0.10,0.17,2.38,72.56,12691
-0.83,0.10,0.17,2.38,72.38,12725
-0.83,0.11,0.17,2.38,72.38,12765
